Freq.	V(vout)
1.80717412601090e+002	(-1.03905065091528e-003dB,-1.10320612111393e+000°)
1.81134009261958e+002	(-1.04001288266514e-003dB,-1.10574920984482e+000°)
1.81551566277311e+002	(-1.04097955491480e-003dB,-1.10829816055692e+000°)
1.81970085860996e+002	(-1.04195068815531e-003dB,-1.11085298676043e+000°)
1.82389570231961e+002	(-1.04292630291058e-003dB,-1.11341370199665e+000°)
1.82810021614272e+002	(-1.04390641991571e-003dB,-1.11598031983809e+000°)
1.83231442237119e+002	(-1.04489105992318e-003dB,-1.11855285388851e+000°)
1.83653834334832e+002	(-1.04588024381186e-003dB,-1.12113131778303e+000°)
1.84077200146893e+002	(-1.04687399252618e-003dB,-1.12371572518817e+000°)
1.84501541917945e+002	(-1.04787232713118e-003dB,-1.12630608980192e+000°)
1.84926861897805e+002	(-1.04887526882689e-003dB,-1.12890242535385e+000°)
1.85353162341478e+002	(-1.04988283879219e-003dB,-1.13150474560513e+000°)
1.85780445509167e+002	(-1.05089505841234e-003dB,-1.13411306434865e+000°)
1.86208713666284e+002	(-1.05191194918161e-003dB,-1.13672739540908e+000°)
1.86637969083464e+002	(-1.05293353259813e-003dB,-1.13934775264291e+000°)
1.87068214036577e+002	(-1.05395983032306e-003dB,-1.14197414993856e+000°)
1.87499450806739e+002	(-1.05499086414390e-003dB,-1.14460660121645e+000°)
1.87931681680324e+002	(-1.05602665585012e-003dB,-1.14724512042907e+000°)
1.88364908948977e+002	(-1.05706722743083e-003dB,-1.14988972156104e+000°)
1.88799134909627e+002	(-1.05811260095039e-003dB,-1.15254041862919e+000°)
1.89234361864495e+002	(-1.05916279854359e-003dB,-1.15519722568266e+000°)
1.89670592121112e+002	(-1.06021784244455e-003dB,-1.15786015680293e+000°)
1.90107827992327e+002	(-1.06127775504562e-003dB,-1.16052922610392e+000°)
1.90546071796322e+002	(-1.06234255879218e-003dB,-1.16320444773207e+000°)
1.90985325856621e+002	(-1.06341227626564e-003dB,-1.16588583586641e+000°)
1.91425592502106e+002	(-1.06448693013130e-003dB,-1.16857340471862e+000°)
1.91866874067026e+002	(-1.06556654315869e-003dB,-1.17126716853312e+000°)
1.92309172891013e+002	(-1.06665113820798e-003dB,-1.17396714158715e+000°)
1.92752491319091e+002	(-1.06774073829753e-003dB,-1.17667333819082e+000°)
